country,province,city,updatedAt,stats,coordinates
US,Virginia,Alexandria,2020-03-23 23:19:34,"{'confirmed': '6', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.814003', 'longitude': '-77.08183073'}"
US,Oklahoma,Alfalfa,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.73090616', 'longitude': '-98.32408495'}"
US,Michigan,Alger,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.41292944', 'longitude': '-86.60260122'}"
US,Iowa,Allamakee,2020-03-23 23:19:34,"{'confirmed': '6', 'deaths': '0', 'recovered': '0'}","{'latitude': '43.28383218', 'longitude': '-91.37860922'}"
US,Michigan,Allegan,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '42.59147037', 'longitude': '-85.89102866'}"
US,Maryland,Allegany,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.62357628', 'longitude': '-78.69280486'}"
US,New York,Allegany,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '42.25748406', 'longitude': '-78.02750466'}"
US,North Carolina,Alleghany,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.49360862', 'longitude': '-81.12857041'}"
US,Virginia,Alleghany,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.78636074', 'longitude': '-80.00222498'}"
US,Pennsylvania,Allegheny,2020-03-23 23:19:34,"{'confirmed': '48', 'deaths': '1', 'recovered': '0'}","{'latitude': '40.46809875', 'longitude': '-79.98167747'}"
US,Indiana,Allen,2020-03-23 23:19:34,"{'confirmed': '4', 'deaths': '1', 'recovered': '0'}","{'latitude': '41.09194313', 'longitude': '-85.06800636'}"
